,state,x,y
0,Alabama,0    139,0   -77
1,Arizona,2   -203,2   -40
2,Arkansas,3    57,3   -53
3,California,4   -297,4    13
4,Colorado,5   -112,5    20
5,Connecticut,6    297,6    96
6,Delaware,7    275,7    42
7,Florida,8    220,8   -145
8,Georgia,9    182,9   -75
9,Hawaii,10   -317,10   -143
10,Idaho,11   -216,11    122
11,Illinois,12    95,12    37
12,Indiana,13    133,13    39
13,Iowa,14    38,14    65
14,Kansas,15   -17,15    5
15,Kentucky,16    149,16    1
16,Louisiana,17    59,17   -114
17,Maine,18    319,18    164
18,Maryland,19    288,19    27
19,Massachusetts,20    312,20    112
20,Michigan,21    148,21    101
21,Minnesota,22    23,22    135
22,Mississippi,23    94,23   -78
23,Missouri,24    49,24    6
24,Montana,25   -141,25    150
25,Nebraska,26   -61,26    66
26,Nevada,27   -257,27    56
27,New Hampshire,28    302,28    127
28,New Jersey,29    282,29    65
29,New Mexico,30   -128,30   -43
30,New York,31    236,31    104
31,North Carolina,32    239,32   -22
32,North Dakota,33   -44,33    158
33,Ohio,34    176,34    52
34,Oklahoma,35   -8,35   -41
35,Oregon,36   -278,36    138
36,Pennsylvania,37    238,37    72
37,Rhode Island,38    318,38    94
38,South Carolina,39    218,39   -51
39,South Dakota,40   -44,40    109
40,Tennessee,41    131,41   -34
41,Texas,42   -38,42   -106
42,Utah,43   -189,43    34
43,Vermont,44    282,44    154
44,Virginia,45    234,45    12
45,Washington,46   -257,46    193
46,West Virginia,47    200,47    20
47,Wisconsin,48    83,48    113
48,Wyoming,49   -134,49    90
